linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.4,1,0,5,9,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.4,1,0,5,9,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.4,1,0,5,9,0
False,0.1,0.1,50,0.01,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,50,0.05,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,50,0.1,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,50,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.6,4,0,5,6,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.4,1,0,5,9,0
False,0.1,0.1,50,0.1,0.4,1,0,5,9,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.4,1,0,5,9,0
False,0.1,0.1,50,0.1,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,50,0.1,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,50,0.001,0.4,1,0,5,9,0
False,0.1,0.1,50,0.005,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,50,0.01,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,50,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,50,0.1,0.4666666666666667,4,2,3,6,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.4,2,1,4,8,0
False,0.1,0.1,50,0.1,0.4666666666666667,3,1,4,7,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.6,4,0,5,6,0
False,0.1,0.1,50,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.4,1,0,5,9,0
False,0.1,0.1,50,0.05,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,50,0.1,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,50,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,50,0.1,0.4,1,0,5,9,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.2666666666666667,0,1,4,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4,1,0,5,9,0
False,0.1,0.1,100,0.001,0.4,1,0,5,9,0
False,0.1,0.1,100,0.005,0.4,1,0,5,9,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.1,0.4666666666666667,3,1,4,7,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.1,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.6,4,0,5,6,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.01,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.05,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.8,7,0,5,3,0
False,0.1,0.1,100,0.1,0.7333333333333334,7,1,4,3,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4,2,1,4,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.1,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.1,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4,1,0,5,9,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.4,1,0,5,9,0
False,0.1,0.1,100,0.005,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.01,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.05,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.4,1,0,5,9,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.6,4,0,5,6,0
False,0.1,0.1,100,0.1,0.6,5,1,4,5,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.4,1,0,5,9,0
False,0.1,0.1,100,0.1,0.6,4,0,5,6,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.4,1,0,5,9,0
False,0.1,0.1,100,0.01,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.05,0.6,4,0,5,6,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.2666666666666667,0,1,4,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,2,2,3,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.6,4,0,5,6,0
False,0.1,0.1,100,0.1,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.1,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.6,4,0,5,6,0
False,0.1,0.1,100,0.1,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.6,4,0,5,6,0
False,0.1,0.1,100,0.1,0.6,4,0,5,6,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.4,1,0,5,9,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.4,1,0,5,9,0
False,0.1,0.1,100,0.1,0.6,4,0,5,6,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.1,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.2666666666666667,0,1,4,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,2,2,3,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4,2,1,4,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4,1,0,5,9,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.01,0.6,4,0,5,6,0
False,0.1,0.1,100,0.05,0.8,7,0,5,3,0
False,0.1,0.1,100,0.1,0.8,7,0,5,3,0
False,0.1,0.1,100,0.001,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.005,0.6,4,0,5,6,0
False,0.1,0.1,100,0.01,0.6,4,0,5,6,0
False,0.1,0.1,100,0.05,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.4,1,0,5,9,0
False,0.1,0.1,100,0.1,0.6,4,0,5,6,0
False,0.1,0.1,100,0.001,0.4,1,0,5,9,0
False,0.1,0.1,100,0.005,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.01,0.6,4,0,5,6,0
False,0.1,0.1,100,0.05,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.1,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4,1,0,5,9,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.001,0.6,4,0,5,6,0
False,0.1,0.1,100,0.005,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.01,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.05,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.19999999999999996,0,2,3,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.4,1,0,5,9,0
False,0.1,0.1,100,0.1,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.1,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.4,1,0,5,9,0
False,0.1,0.1,100,0.1,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.4,1,0,5,9,0
False,0.1,0.1,100,0.01,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.05,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.1,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.001,0.4,1,0,5,9,0
False,0.1,0.1,100,0.005,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.01,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.05,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.1,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.4,1,0,5,9,0
False,0.1,0.1,100,0.1,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.4,1,0,5,9,0
False,0.1,0.1,100,0.05,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.1,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.1,0.8,7,0,5,3,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.4,1,0,5,9,0
False,0.1,0.1,100,0.1,0.4,1,0,5,9,0
False,0.1,0.1,100,0.001,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.005,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.01,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.05,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.1,0.4,1,0,5,9,0
False,0.1,0.1,100,0.001,0.4666666666666667,2,0,5,8,0
